# name	kind	replacement	introduced	remove_after
CHANNEL_ANGLE	moved	moxi_plot.CHANNEL_ANGLE	0.6	never
CHANNEL_COLOR	moved	moxi_plot.CHANNEL_COLOR	0.6	never
CHANNEL_COLUMN	moved	moxi_plot.CHANNEL_COLUMN	0.6	never
CHANNEL_DETAIL	moved	moxi_plot.CHANNEL_DETAIL	0.6	never
CHANNEL_FACET	moved	moxi_plot.CHANNEL_FACET	0.6	never
CHANNEL_FILL	moved	moxi_plot.CHANNEL_FILL	0.6	never
CHANNEL_HREF	moved	moxi_plot.CHANNEL_HREF	0.6	never
CHANNEL_KEY	moved	moxi_plot.CHANNEL_KEY	0.6	never
CHANNEL_OPACITY	moved	moxi_plot.CHANNEL_OPACITY	0.6	never
CHANNEL_ORDER	moved	moxi_plot.CHANNEL_ORDER	0.6	never
CHANNEL_RADIUS	moved	moxi_plot.CHANNEL_RADIUS	0.6	never
CHANNEL_ROW	moved	moxi_plot.CHANNEL_ROW	0.6	never
CHANNEL_SHAPE	moved	moxi_plot.CHANNEL_SHAPE	0.6	never
CHANNEL_SIZE	moved	moxi_plot.CHANNEL_SIZE	0.6	never
CHANNEL_STROKE	moved	moxi_plot.CHANNEL_STROKE	0.6	never
CHANNEL_TEXT	moved	moxi_plot.CHANNEL_TEXT	0.6	never
CHANNEL_TOOLTIP	moved	moxi_plot.CHANNEL_TOOLTIP	0.6	never
CHANNEL_X	moved	moxi_plot.CHANNEL_X	0.6	never
CHANNEL_X2	moved	moxi_plot.CHANNEL_X2	0.6	never
CHANNEL_Y	moved	moxi_plot.CHANNEL_Y	0.6	never
CHANNEL_Y2	moved	moxi_plot.CHANNEL_Y2	0.6	never
COLUMN_BOOL	moved	moxi_plot.COLUMN_BOOL	0.6	never
COLUMN_CATEGORY	moved	moxi_plot.COLUMN_CATEGORY	0.6	never
COLUMN_DURATION	moved	moxi_plot.COLUMN_DURATION	0.6	never
COLUMN_FLOAT32	moved	moxi_plot.COLUMN_FLOAT32	0.6	never
COLUMN_FLOAT64	moved	moxi_plot.COLUMN_FLOAT64	0.6	never
COLUMN_INT64	moved	moxi_plot.COLUMN_INT64	0.6	never
COLUMN_STRING	moved	moxi_plot.COLUMN_STRING	0.6	never
COLUMN_TIMESTAMP	moved	moxi_plot.COLUMN_TIMESTAMP	0.6	never
COMPOSITION_FACET	moved	moxi_plot.COMPOSITION_FACET	0.6	never
COMPOSITION_HORIZONTAL	moved	moxi_plot.COMPOSITION_HORIZONTAL	0.6	never
COMPOSITION_LAYER	moved	moxi_plot.COMPOSITION_LAYER	0.6	never
COMPOSITION_VERTICAL	moved	moxi_plot.COMPOSITION_VERTICAL	0.6	never
DEMO_ALIGNMENT_ID	moved	moxi_demo.DEMO_ALIGNMENT_ID	0.6	never
DEMO_ANIMATION_ID	moved	moxi_demo.DEMO_ANIMATION_ID	0.6	never
DEMO_CAPABILITY_WALKTHROUGH_ID	moved	moxi_demo.DEMO_CAPABILITY_WALKTHROUGH_ID	0.6	never
DEMO_CAPABILITY_WALKTHROUGH_ID_OFFSET	moved	moxi_demo.DEMO_CAPABILITY_WALKTHROUGH_ID_OFFSET	0.6	never
DEMO_CAPABILITY_WALKTHROUGH_SLOT_ID	moved	moxi_demo.DEMO_CAPABILITY_WALKTHROUGH_SLOT_ID	0.6	never
DEMO_CATEGORY_ALL	moved	moxi_demo.DEMO_CATEGORY_ALL	0.6	never
DEMO_CATEGORY_BUTTON_BASE	moved	moxi_demo.DEMO_CATEGORY_BUTTON_BASE	0.6	never
DEMO_CATEGORY_COMPONENTS	moved	moxi_demo.DEMO_CATEGORY_COMPONENTS	0.6	never
DEMO_CATEGORY_LAYOUT	moved	moxi_demo.DEMO_CATEGORY_LAYOUT	0.6	never
DEMO_CATEGORY_PLOTTING	moved	moxi_demo.DEMO_CATEGORY_PLOTTING	0.6	never
