upstream_revision	upstream_mark	upstream_module	moxi_equivalent	schema_status	scene_status	interaction_status	accessibility_status	python_status	parity_fixture	benchmark	strategy
daed1bf9f0b367778109b724c4cd1e035114b476	point/scatter	continuous.mojo	PLOT_SCATTER	partial	implemented	implemented	implemented	planned	pending	pending	absorb-core-mark
daed1bf9f0b367778109b724c4cd1e035114b476	line	continuous.mojo	PLOT_LINE	partial	implemented	implemented	implemented	planned	pending	pending	absorb-core-mark
daed1bf9f0b367778109b724c4cd1e035114b476	area	continuous.mojo	PLOT_AREA	partial	implemented	implemented	implemented	planned	pending	pending	absorb-core-mark
daed1bf9f0b367778109b724c4cd1e035114b476	bar	bar.mojo	PLOT_BAR/PLOT_COLUMN	partial	implemented	implemented	implemented	planned	pending	pending	absorb-core-mark
daed1bf9f0b367778109b724c4cd1e035114b476	grouped_bar	grouped_bar.mojo	PLOT_BAR	planned	partial	planned	planned	planned	pending	pending	absorb-layout
daed1bf9f0b367778109b724c4cd1e035114b476	stacked_bar	stacked_bar.mojo	PLOT_BAR	planned	partial	planned	planned	planned	pending	pending	absorb-layout
daed1bf9f0b367778109b724c4cd1e035114b476	histogram	histogram.mojo	PLOT_HISTOGRAM	partial	implemented	implemented	implemented	planned	pending	pending	absorb-recipe
daed1bf9f0b367778109b724c4cd1e035114b476	box	box.mojo	PLOT_BOX	partial	implemented	implemented	implemented	planned	pending	pending	absorb-recipe
daed1bf9f0b367778109b724c4cd1e035114b476	heatmap	heatmap.mojo	PLOT_HEATMAP	partial	implemented	implemented	implemented	planned	pending	pending	absorb-recipe
daed1bf9f0b367778109b724c4cd1e035114b476	pie/donut	arc.mojo	planned	planned	partial	planned	planned	planned	pending	pending	reference-first
daed1bf9f0b367778109b724c4cd1e035114b476	lollipop	lollipop.mojo	planned	planned	partial	planned	planned	planned	pending	pending	reference-first
daed1bf9f0b367778109b724c4cd1e035114b476	waterfall	waterfall.mojo	planned	planned	partial	planned	planned	planned	pending	pending	reference-first
daed1bf9f0b367778109b724c4cd1e035114b476	candlestick	candlestick.mojo	planned	planned	partial	planned	planned	planned	pending	pending	reference-first
daed1bf9f0b367778109b724c4cd1e035114b476	bullet	bullet.mojo	planned	planned	partial	planned	planned	planned	pending	pending	reference-first
daed1bf9f0b367778109b724c4cd1e035114b476	gantt	gantt.mojo	planned	planned	partial	planned	planned	planned	pending	pending	reference-first
daed1bf9f0b367778109b724c4cd1e035114b476	span_chart	span_chart.mojo	planned	planned	partial	planned	planned	planned	pending	pending	reference-first
daed1bf9f0b367778109b724c4cd1e035114b476	beeswarm	beeswarm.mojo	planned	planned	partial	planned	planned	planned	pending	pending	reference-first
daed1bf9f0b367778109b724c4cd1e035114b476	violin	violin.mojo	planned	planned	partial	planned	planned	planned	pending	pending	reference-first
daed1bf9f0b367778109b724c4cd1e035114b476	ridgeline	ridgeline.mojo	planned	planned	partial	planned	planned	planned	pending	pending	reference-first
daed1bf9f0b367778109b724c4cd1e035114b476	nightingale	nightingale.mojo	planned	planned	partial	planned	planned	planned	pending	pending	reference-first
daed1bf9f0b367778109b724c4cd1e035114b476	polar	polar.mojo	planned	planned	partial	planned	planned	planned	pending	pending	reference-first
daed1bf9f0b367778109b724c4cd1e035114b476	polar_bar	polar_bar.mojo	planned	planned	partial	planned	planned	planned	pending	pending	reference-first
daed1bf9f0b367778109b724c4cd1e035114b476	radialbar	radialbar.mojo	planned	planned	partial	planned	planned	planned	pending	pending	reference-first
daed1bf9f0b367778109b724c4cd1e035114b476	gauge	gauge.mojo	planned	planned	partial	planned	planned	planned	pending	pending	reference-first
daed1bf9f0b367778109b724c4cd1e035114b476	radar	radar.mojo	planned	planned	partial	planned	planned	planned	pending	pending	reference-first
daed1bf9f0b367778109b724c4cd1e035114b476	population_pyramid	population_pyramid.mojo	planned	planned	partial	planned	planned	planned	pending	pending	reference-first
daed1bf9f0b367778109b724c4cd1e035114b476	parallel	parallel.mojo	planned	planned	partial	planned	planned	planned	pending	pending	reference-first
daed1bf9f0b367778109b724c4cd1e035114b476	contour/contourf	contour.mojo	planned	planned	partial	planned	planned	planned	pending	pending	algorithm-source
daed1bf9f0b367778109b724c4cd1e035114b476	tricontour	tricontour.mojo	planned	planned	partial	planned	planned	planned	pending	pending	algorithm-source
daed1bf9f0b367778109b724c4cd1e035114b476	corrplot	corrplot.mojo	planned	planned	partial	planned	planned	planned	pending	pending	reference-first
daed1bf9f0b367778109b724c4cd1e035114b476	calendar_heatmap	calendar_heatmap.mojo	planned	planned	partial	planned	planned	planned	pending	pending	reference-first
daed1bf9f0b367778109b724c4cd1e035114b476	punchcard	punchcard.mojo	planned	planned	partial	planned	planned	planned	pending	pending	reference-first
daed1bf9f0b367778109b724c4cd1e035114b476	marimekko	marimekko.mojo	planned	planned	partial	planned	planned	planned	pending	pending	reference-first
daed1bf9f0b367778109b724c4cd1e035114b476	funnel	funnel.mojo	planned	planned	partial	planned	planned	planned	pending	pending	reference-first
daed1bf9f0b367778109b724c4cd1e035114b476	bump	bump.mojo	planned	planned	partial	planned	planned	planned	pending	pending	reference-first
daed1bf9f0b367778109b724c4cd1e035114b476	effect_scatter	effect_scatter.mojo	planned	planned	partial	planned	planned	planned	pending	pending	reference-first
daed1bf9f0b367778109b724c4cd1e035114b476	arc_diagram	arc_diagram.mojo	planned	planned	partial	planned	planned	planned	pending	pending	reference-first
daed1bf9f0b367778109b724c4cd1e035114b476	graph	graph.mojo	planned	planned	partial	planned	planned	planned	pending	pending	reference-first
daed1bf9f0b367778109b724c4cd1e035114b476	sankey	sankey.mojo	planned	planned	partial	planned	planned	planned	pending	pending	algorithm-source
daed1bf9f0b367778109b724c4cd1e035114b476	sunburst	sunburst.mojo	planned	planned	partial	planned	planned	planned	pending	pending	algorithm-source
daed1bf9f0b367778109b724c4cd1e035114b476	tree	tree.mojo	planned	planned	partial	planned	planned	planned	pending	pending	algorithm-source
daed1bf9f0b367778109b724c4cd1e035114b476	treemap	treemap.mojo	planned	planned	partial	planned	planned	planned	pending	pending	algorithm-source
daed1bf9f0b367778109b724c4cd1e035114b476	barbs	barbs.mojo	planned	planned	partial	planned	planned	planned	pending	pending	reference-only
