# name	module	support lane	owner
PLOT_AREA	moxi_plot.plot_marks	provisional	typed plotting data, specification, or runtime
PLOT_BAR	moxi_plot.plot_marks	provisional	typed plotting data, specification, or runtime
PLOT_BAND	moxi_plot.plot_marks	provisional	typed plotting data, specification, or runtime
PLOT_BUBBLE	moxi_plot.plot_marks	provisional	typed plotting data, specification, or runtime
PLOT_COLUMN	moxi_plot.plot_marks	provisional	typed plotting data, specification, or runtime
PLOT_DOT	moxi_plot.plot_marks	provisional	typed plotting data, specification, or runtime
PLOT_ERROR_BAR	moxi_plot.plot_marks	provisional	typed plotting data, specification, or runtime
PLOT_LINE	moxi_plot.plot_marks	provisional	typed plotting data, specification, or runtime
PLOT_RECT	moxi_plot.plot_marks	provisional	typed plotting data, specification, or runtime
PLOT_RULE	moxi_plot.plot_marks	provisional	typed plotting data, specification, or runtime
PLOT_SCATTER	moxi_plot.plot_marks	provisional	typed plotting data, specification, or runtime
PLOT_STEP	moxi_plot.plot_marks	provisional	typed plotting data, specification, or runtime
PLOT_TICK	moxi_plot.plot_marks	provisional	typed plotting data, specification, or runtime
PLOT_TEXT	moxi_plot.plot_marks	provisional	typed plotting data, specification, or runtime
PLOT_INTERVAL	moxi_plot.plot_marks	provisional	typed plotting data, specification, or runtime
PLOT_HISTOGRAM	moxi_plot.plot_marks	provisional	typed plotting data, specification, or runtime
PLOT_DENSITY	moxi_plot.plot_marks	provisional	typed plotting data, specification, or runtime
PLOT_ECDF	moxi_plot.plot_marks	provisional	typed plotting data, specification, or runtime
PLOT_BOX	moxi_plot.plot_marks	provisional	typed plotting data, specification, or runtime
PLOT_HEATMAP	moxi_plot.plot_marks	provisional	typed plotting data, specification, or runtime
PLOT_HEXBIN	moxi_plot.plot_marks	provisional	typed plotting data, specification, or runtime
PLOT_REGRESSION	moxi_plot.plot_marks	provisional	typed plotting data, specification, or runtime
PLOT_GROUPED_BAR	moxi_plot.plot_marks	provisional	typed plotting data, specification, or runtime
PLOT_STACKED_BAR	moxi_plot.plot_marks	provisional	typed plotting data, specification, or runtime
PLOT_PIE	moxi_plot.plot_marks	provisional	typed plotting data, specification, or runtime
PLOT_DONUT	moxi_plot.plot_marks	provisional	typed plotting data, specification, or runtime
