# package	trait	method
moxi	CapabilityHandler	capability_descriptor
moxi	CapabilityHandler	execute_capability
moxi	ClipboardBackend	copy
moxi	ClipboardBackend	paste
moxi	Component	build
moxi	Component	clipboard_copy
moxi	Component	clipboard_cut
moxi	Component	clipboard_paste
moxi	Component	intercepts_pointer
moxi	Component	localized_dispatch
moxi	Component	localized_last_child_commands
moxi	Component	localized_last_child_nodes
moxi	Component	localized_view
moxi	Component	scroll_reset_target
moxi	Component	supports_localized_execution
moxi	Component	update
moxi	Component	update_retained
moxi	FractalCanvasPainter	begin
moxi	FractalCanvasPainter	begin_line_geometry
moxi	FractalCanvasPainter	circle
moxi	FractalCanvasPainter	end
moxi	FractalCanvasPainter	end_line_geometry
moxi	FractalCanvasPainter	fill_rect
moxi	FractalCanvasPainter	line
moxi	FractalCanvasPainter	line_batch
moxi	FractalCanvasPainter	set_canvas_bounds
moxi	PlatformAdapter	begin_frame
moxi	PlatformAdapter	close
moxi	PlatformAdapter	is_available
moxi	PlatformAdapter	kind
moxi	PlatformAdapter	open
moxi	PlatformAdapter	present
moxi	PlatformAdapter	resize
moxi	PlatformAdapter	set_scale_factor
moxi	Renderer	backend_capabilities
moxi	Renderer	begin_frame
moxi	Renderer	clear_region
moxi	Renderer	draw
moxi	Renderer	draw_button
moxi	Renderer	draw_canvas
moxi	Renderer	draw_checkbox
moxi	Renderer	draw_combo_box
moxi	Renderer	draw_dialog
moxi	Renderer	draw_image
moxi	Renderer	draw_label
moxi	Renderer	draw_list
moxi	Renderer	draw_menu
moxi	Renderer	draw_multiline_text
moxi	Renderer	draw_panel
moxi	Renderer	draw_progress
moxi	Renderer	draw_radio
moxi	Renderer	draw_scrollbar
moxi	Renderer	draw_separator
moxi	Renderer	draw_slider
moxi	Renderer	draw_surface
moxi	Renderer	draw_switch
moxi	Renderer	draw_table
moxi	Renderer	draw_tabs
moxi	Renderer	draw_text_input
moxi	Renderer	draw_tree
moxi	Renderer	supports_incremental
moxi	Renderer	update_accessibility
moxi	ResourceResolver	release_image
moxi	ResourceResolver	resolve_font
moxi	ResourceResolver	resolve_image
moxi	SceneRenderer	begin_scene
moxi	SceneRenderer	draw_scene_command
moxi	SceneRenderer	end_scene
moxi	SceneRenderer	render_scene
moxi	TextShaper	shape
moxi	VirtualItemBuilder	build
moxi	WindowBackend	click_position
moxi	WindowBackend	is_open
moxi	WindowBackend	open
moxi	WindowBackend	poll_click
moxi	WindowBackend	poll_event
moxi	WindowBackend	pump
moxi	WindowBackend	run
moxi	WindowBackend	size
